,underlying_symbol,underlying_price,contract_symbol,expiration,dte,strike,option_type,open_interest,volume,theoretical_price,last_trade_price,tick,bid,bid_size,ask,ask_size,open,high,low,prev_close,change,change_percent,implied_volatility,delta,gamma,theta,vega,rho
85,NDXP,21609.1211,NDXP250212P19250000,2025-02-12,0,19250.0,put,5,0,0.0239,0.15,up,0.0,0,0.15,12,0.0,0.0,0.0,0.150000002235174,0.0,0.0,1.3752,-0.0002,0.0,-0.0239,0.0032,0.0
86,NDXP,21609.1211,NDXP250212C19275000,2025-02-12,0,19275.0,call,0,0,2336.5581,0.0,no_change,2301.0,1,2370.8,1,0.0,0.0,0.0,2428.25,0.0,0.0,1.8644,0.9998,0.0,-0.0253,0.0032,-0.0012
87,NDXP,21609.1211,NDXP250212P19275000,2025-02-12,0,19275.0,put,7,0,0.0252,9.4,down,0.0,0,0.2,17,0.0,0.0,0.0,0.249999994412065,0.0,0.0,1.3895,-0.0002,0.0,-0.0252,0.0034,0.0
88,NDXP,21609.1211,NDXP250212C19300000,2025-02-12,0,19300.0,call,0,0,2311.5593,0.0,no_change,2276.0,1,2345.8,1,0.0,0.0,0.0,2403.19995117188,0.0,0.0,1.8456,0.9998,0.0,-0.0265,0.0035,0.0
89,NDXP,21609.1211,NDXP250212P19300000,2025-02-12,0,19300.0,put,0,0,0.0265,0.0,no_change,0.0,0,0.2,17,0.0,0.0,0.0,0.249999994412065,0.0,0.0,1.3748,-0.0002,0.0,-0.0265,0.0035,0.0
90,NDXP,21609.1211,NDXP250212C19325000,2025-02-12,0,19325.0,call,0,0,2286.5608,0.0,no_change,2251.0,1,2320.8,1,0.0,0.0,0.0,2378.25,0.0,0.0,1.8268,0.9998,0.0,-0.028,0.0036,-0.0007
91,NDXP,21609.1211,NDXP250212P19325000,2025-02-12,0,19325.0,put,6,0,0.0279,10.1,down,0.0,0,0.2,17,0.0,0.0,0.0,0.249999994412065,0.0,0.0,1.3602,-0.0002,0.0,-0.0279,0.0037,0.0
92,NDXP,21609.1211,NDXP250212C19350000,2025-02-12,0,19350.0,call,0,0,2261.5623,0.0,no_change,2226.0,1,2295.8,1,0.0,0.0,0.0,2353.15002441406,0.0,0.0,1.8081,0.9998,0.0,-0.0294,0.0038,-0.0008
93,NDXP,21609.1211,NDXP250212P19350000,2025-02-12,0,19350.0,put,38,6,0.0294,0.15,up,0.0,0,0.2,17,0.05,0.15,0.05,0.274999994784594,-0.125,-0.45454500000000003,1.3456,-0.0002,0.0,-0.0294,0.0039,0.0
94,NDXP,21609.1211,NDXP250212C19375000,2025-02-12,0,19375.0,call,0,0,2236.5637,0.0,no_change,2201.0,1,2270.8,1,0.0,0.0,0.0,2328.25,0.0,0.0,1.7893,0.9998,0.0,-0.0309,0.0041,-0.0003
